mileage,make,model,fuel,gear,offerType,price,hp,year,mileage_bins
27241,Renault,Megane,Diesel,Manual,Used,8990.0,110.0,2014,under 50k
90173,Ford,Focus,Gasoline,Manual,Used,8990.0,101.0,2014,under 100k
54210,Renault,Clio,Gasoline,Automatic,Used,8990.0,120.0,2014,under 100k
123559,Peugeot,2008,Diesel,Automatic,Used,8995.0,92.0,2014,under 150k
81430,Citroen,C4,Gasoline,Automatic,Used,8999.0,82.0,2014,under 100k
73000,SEAT,Leon,Gasoline,Manual,Used,9000.0,110.0,2014,under 100k
56700,Chevrolet,Trax,Gasoline,Manual,Used,9000.0,140.0,2014,under 100k
68220,Skoda,Citigo,Gasoline,Manual,Used,8900.0,75.0,2015,under 100k
62665,Opel,Corsa,Gasoline,Automatic,Used,8950.0,90.0,2015,under 100k
172000,Volkswagen,Passat Variant,Diesel,Manual,Used,8990.0,120.0,2015,under 200k
53000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,8990.0,86.0,2015,under 100k
175488,Ford,Mondeo,Diesel,Manual,Used,8990.0,120.0,2015,under 200k
102690,Dacia,Duster,Gasoline,Manual,Used,8990.0,125.0,2015,under 150k
49249,Renault,Megane,Gasoline,Manual,Used,8990.0,132.0,2015,under 50k
30100,Kia,Rio,Gasoline,Manual,Used,8990.0,86.0,2015,under 50k
69120,Kia,Rio,Diesel,Manual,Used,8990.0,90.0,2015,under 100k
53000,Skoda,Fabia,-/- (Fuel),Manual,Used,8990.0,110.0,2015,under 100k
285000,Skoda,Octavia,Diesel,Automatic,Used,9000.0,184.0,2015,over 200k
98540,Fiat,Scudo,Diesel,Manual,Used,9200.0,128.0,2015,under 100k
87200,Renault,Scenic,Gasoline,Manual,Used,9250.0,132.0,2015,under 100k
20000,smart,forFour,Gasoline,Automatic,Demonstration,9299.0,71.0,2015,under 50k
57596,Nissan,Pulsar,Gasoline,Manual,Used,9440.0,116.0,2015,under 100k
51833,Ford,Focus,Diesel,Manual,Used,9440.0,95.0,2015,under 100k
43693,Peugeot,208,Gasoline,Manual,Used,9450.0,110.0,2015,under 50k
109750,Dacia,Duster,Gasoline,Manual,Used,9450.0,105.0,2015,under 150k
88900,Volkswagen,Caddy,Gasoline,Manual,Used,9450.0,86.0,2015,under 100k
33000,Renault,ZOE,Electric,Automatic,Used,8495.0,58.0,2016,under 50k
36300,Renault,Clio,Gasoline,Manual,Used,8499.0,90.0,2016,under 50k
36300,Renault,Clio,Gasoline,Manual,Used,8499.0,90.0,2016,under 50k
